RelativeTime_s,Player_Anim,Player_Anim_Hex,Target_Anim,Target_Anim_Hex
3.013,12020110,0xB7698E,2002003,0x1E8C53
3.045,12020110,0xB7698E,2002003,0x1E8C53
3.074,12020110,0xB7698E,2002003,0x1E8C53
3.103,12020110,0xB7698E,2002003,0x1E8C53
3.235,12020110,0xB7698E,2002003,0x1E8C53
3.260,12020110,0xB7698E,2002003,0x1E8C53
3.294,12020110,0xB7698E,2002003,0x1E8C53
3.344,12020110,0xB7698E,2002000,0x1E8C50
3.354,12020110,0xB7698E,2002000,0x1E8C50
3.388,12020110,0xB7698E,2002000,0x1E8C50
3.417,12020110,0xB7698E,2002000,0x1E8C50
3.447,12020110,0xB7698E,2002000,0x1E8C50
3.482,12020110,0xB7698E,2002000,0x1E8C50
3.510,12020110,0xB7698E,2002000,0x1E8C50
3.541,12020110,0xB7698E,2002000,0x1E8C50
3.573,12020110,0xB7698E,2002000,0x1E8C50
3.606,12020110,0xB7698E,2002000,0x1E8C50
3.636,12020110,0xB7698E,2002000,0x1E8C50
3.749,12020110,0xB7698E,2003011,0x1E9043
3.760,12020110,0xB7698E,2003011,0x1E9043
3.790,12020110,0xB7698E,2003011,0x1E9043
3.843,12020110,0xB7698E,2003011,0x1E9043
3.854,12020110,0xB7698E,2003011,0x1E9043
3.887,12020110,0xB7698E,2003011,0x1E9043
3.916,12020110,0xB7698E,2003011,0x1E9043
3.949,12020110,0xB7698E,2003011,0x1E9043
3.981,12020110,0xB7698E,2003011,0x1E9043
4.013,12020110,0xB7698E,2003011,0x1E9043
4.046,12020110,0xB7698E,2003011,0x1E9043
4.076,12020110,0xB7698E,2003011,0x1E9043
4.106,12020110,0xB7698E,2003011,0x1E9043
4.136,12020110,0xB7698E,2003011,0x1E9043
4.282,12020110,0xB7698E,2003011,0x1E9043
4.292,12020110,0xB7698E,2003011,0x1E9043
4.340,12020110,0xB7698E,2003011,0x1E9043
4.354,12020110,0xB7698E,2003011,0x1E9043
4.384,12020110,0xB7698E,2003011,0x1E9043
4.417,12020110,0xB7698E,2003011,0x1E9043
4.447,12020110,0xB7698E,2003011,0x1E9043
4.480,12020110,0xB7698E,2003011,0x1E9043
4.511,12020110,0xB7698E,2003011,0x1E9043
4.541,12020110,0xB7698E,2003011,0x1E9043
4.572,12020110,0xB7698E,2003011,0x1E9043
4.607,12020110,0xB7698E,2003011,0x1E9043
4.635,27110,0x69E6,2003011,0x1E9043
4.669,27110,0x69E6,2003011,0x1E9043
4.795,27110,0x69E6,2003011,0x1E9043
4.852,27110,0x69E6,2003011,0x1E9043
4.853,27110,0x69E6,2003011,0x1E9043
4.884,27110,0x69E6,2003011,0x1E9043
4.917,27110,0x69E6,2003011,0x1E9043
4.949,27110,0x69E6,2003011,0x1E9043
4.978,27110,0x69E6,2003011,0x1E9043
5.012,27110,0x69E6,2003011,0x1E9043
5.041,27110,0x69E6,2003011,0x1E9043
5.076,27110,0x69E6,2003011,0x1E9043
5.106,27110,0x69E6,2003011,0x1E9043
5.135,27110,0x69E6,2003011,0x1E9043
5.166,27110,0x69E6,2003011,0x1E9043
5.322,27110,0x69E6,2003011,0x1E9043
5.341,27110,0x69E6,2003011,0x1E9043
5.355,27110,0x69E6,2003011,0x1E9043
5.386,27110,0x69E6,2003011,0x1E9043
5.418,27110,0x69E6,2003011,0x1E9043
5.446,27110,0x69E6,2003011,0x1E9043
5.533,26032300,0x18D38AC,2003011,0x1E9043
5.540,26032300,0x18D38AC,2003011,0x1E9043
5.575,26032300,0x18D38AC,2003011,0x1E9043
5.604,26032300,0x18D38AC,2003011,0x1E9043
5.637,26032300,0x18D38AC,2003011,0x1E9043
5.673,26032300,0x18D38AC,2003011,0x1E9043
5.699,26032300,0x18D38AC,2003011,0x1E9043
5.841,26032300,0x18D38AC,2003011,0x1E9043
5.867,26032300,0x18D38AC,2003024,0x1E9050
5.886,26032300,0x18D38AC,2003024,0x1E9050
5.919,26032300,0x18D38AC,2003024,0x1E9050
5.951,26032300,0x18D38AC,2003024,0x1E9050
5.982,26032300,0x18D38AC,2003024,0x1E9050
6.019,26032300,0x18D38AC,2003024,0x1E9050
6.042,26032300,0x18D38AC,2003024,0x1E9050
6.074,26032300,0x18D38AC,2003024,0x1E9050
6.104,26032300,0x18D38AC,2003024,0x1E9050
6.135,26032300,0x18D38AC,2003024,0x1E9050
6.166,26032300,0x18D38AC,2003024,0x1E9050
6.197,26032300,0x18D38AC,2003024,0x1E9050
6.343,26032300,0x18D38AC,2003024,0x1E9050
6.361,26032300,0x18D38AC,2003024,0x1E9050
6.386,26032300,0x18D38AC,2003024,0x1E9050
6.417,26032300,0x18D38AC,2003024,0x1E9050
6.450,26032300,0x18D38AC,2003024,0x1E9050
6.480,26032300,0x18D38AC,2003024,0x1E9050
6.509,26032300,0x18D38AC,2003024,0x1E9050
6.542,26032300,0x18D38AC,2003024,0x1E9050
6.575,26032300,0x18D38AC,2003024,0x1E9050
6.604,26032300,0x18D38AC,2003024,0x1E9050
6.637,26032300,0x18D38AC,2003024,0x1E9050
6.669,26032300,0x18D38AC,2003024,0x1E9050
6.700,26032300,0x18D38AC,2003024,0x1E9050
6.728,26032300,0x18D38AC,2003024,0x1E9050
6.826,27110,0x69E6,2003024,0x1E9050
6.842,27110,0x69E6,2003024,0x1E9050
6.855,27110,0x69E6,2003024,0x1E9050
6.885,27110,0x69E6,2003024,0x1E9050
6.916,27110,0x69E6,2003024,0x1E9050
6.949,27110,0x69E6,2003024,0x1E9050
6.978,27110,0x69E6,2003024,0x1E9050
7.012,27110,0x69E6,2003024,0x1E9050
7.040,27110,0x69E6,2003024,0x1E9050
7.072,27110,0x69E6,2003024,0x1E9050
7.105,27110,0x69E6,2003024,0x1E9050
7.136,27110,0x69E6,2003024,0x1E9050
7.169,27110,0x69E6,2003024,0x1E9050
7.196,27110,0x69E6,2003024,0x1E9050
7.229,27110,0x69E6,2003024,0x1E9050
7.346,27110,0x69E6,2003024,0x1E9050
7.505,27110,0x69E6,2003024,0x1E9050
7.513,27110,0x69E6,2003024,0x1E9050
7.542,27110,0x69E6,2003024,0x1E9050
7.573,27110,0x69E6,2003024,0x1E9050
7.604,26032300,0x18D38AC,2003024,0x1E9050
7.636,26032300,0x18D38AC,2003024,0x1E9050
7.667,26032300,0x18D38AC,2003024,0x1E9050
7.700,26032300,0x18D38AC,2003006,0x1E903E
7.728,26032300,0x18D38AC,2003006,0x1E903E
7.764,26032300,0x18D38AC,2003006,0x1E903E
7.889,26032300,0x18D38AC,2003006,0x1E903E
7.918,26032300,0x18D38AC,2003006,0x1E903E
7.950,26032300,0x18D38AC,2003006,0x1E903E
7.981,26032300,0x18D38AC,2003006,0x1E903E
8.013,26032300,0x18D38AC,2003006,0x1E903E
8.041,26032300,0x18D38AC,2003006,0x1E903E
8.075,26032300,0x18D38AC,2003006,0x1E903E
8.106,26032300,0x18D38AC,2003006,0x1E903E
8.134,26032300,0x18D38AC,2003006,0x1E903E
8.167,26032300,0x18D38AC,2003006,0x1E903E
8.198,26032300,0x18D38AC,2003006,0x1E903E
8.228,26032300,0x18D38AC,2003006,0x1E903E
8.260,26032300,0x18D38AC,2003006,0x1E903E
8.401,26032300,0x18D38AC,2003006,0x1E903E
8.425,26032300,0x18D38AC,2003006,0x1E903E
8.450,26032300,0x18D38AC,2003006,0x1E903E
8.480,26032300,0x18D38AC,2003006,0x1E903E
8.512,26032300,0x18D38AC,2003006,0x1E903E
8.541,26032300,0x18D38AC,2003006,0x1E903E
8.574,26032300,0x18D38AC,2003006,0x1E903E
8.605,26032300,0x18D38AC,2003006,0x1E903E
8.637,26032300,0x18D38AC,2003006,0x1E903E
8.665,27110,0x69E6,2003006,0x1E903E
8.697,27110,0x69E6,2003006,0x1E903E
8.729,27110,0x69E6,2003006,0x1E903E
8.759,27110,0x69E6,2003006,0x1E903E
8.791,27110,0x69E6,2003006,0x1E903E
8.919,27110,0x69E6,2003006,0x1E903E
8.946,27110,0x69E6,2003006,0x1E903E
8.979,27110,0x69E6,2003006,0x1E903E
9.010,27110,0x69E6,2003006,0x1E903E
9.043,27110,0x69E6,2003006,0x1E903E
9.073,27110,0x69E6,2003006,0x1E903E
9.105,5321,0x14C9,2003006,0x1E903E
9.136,5321,0x14C9,2003006,0x1E903E
9.167,5321,0x14C9,2003006,0x1E903E
9.198,5321,0x14C9,2003006,0x1E903E
9.229,5321,0x14C9,2003006,0x1E903E
9.261,5321,0x14C9,2003006,0x1E903E
9.291,5321,0x14C9,2003006,0x1E903E
9.466,5321,0x14C9,2003007,0x1E903F
9.479,5321,0x14C9,2003007,0x1E903F
9.511,5321,0x14C9,2003007,0x1E903F
9.541,5321,0x14C9,2003007,0x1E903F
9.572,5321,0x14C9,2003007,0x1E903F
9.603,5321,0x14C9,2003007,0x1E903F
9.635,5321,0x14C9,2003007,0x1E903F
9.666,5321,0x14C9,2003007,0x1E903F
9.697,5321,0x14C9,2003007,0x1E903F
9.729,5321,0x14C9,2003007,0x1E903F
9.762,5321,0x14C9,2003007,0x1E903F
9.794,5321,0x14C9,2003007,0x1E903F
9.849,5321,0x14C9,2003007,0x1E903F
9.980,5321,0x14C9,2003007,0x1E903F
10.011,5321,0x14C9,2003007,0x1E903F
10.045,5321,0x14C9,2003007,0x1E903F
10.074,5321,0x14C9,2003007,0x1E903F
10.107,5321,0x14C9,2003007,0x1E903F
10.138,5321,0x14C9,2003007,0x1E903F
10.170,5321,0x14C9,2003007,0x1E903F
10.196,5321,0x14C9,2003007,0x1E903F
10.228,5321,0x14C9,2003007,0x1E903F
10.261,5321,0x14C9,2003007,0x1E903F
10.292,5321,0x14C9,2003007,0x1E903F
10.344,26032000,0x18D3780,2003007,0x1E903F
10.465,26032000,0x18D3780,2003007,0x1E903F
10.479,26032000,0x18D3780,2003007,0x1E903F
10.512,26032000,0x18D3780,2003007,0x1E903F
10.545,26032000,0x18D3780,2003007,0x1E903F
10.576,26032000,0x18D3780,2003007,0x1E903F
10.606,26032000,0x18D3780,2003007,0x1E903F
10.634,26032000,0x18D3780,2003007,0x1E903F
10.666,26032000,0x18D3780,2003007,0x1E903F
10.700,26032000,0x18D3780,2003007,0x1E903F
10.728,26032000,0x18D3780,2009000,0x1EA7A8
10.762,26032000,0x18D3780,2009000,0x1EA7A8
10.793,26032000,0x18D3780,2009000,0x1EA7A8
10.855,26032000,0x18D3780,2009000,0x1EA7A8
10.976,26032000,0x18D3780,2009000,0x1EA7A8
10.980,26032000,0x18D3780,2009000,0x1EA7A8
11.012,26032000,0x18D3780,2009000,0x1EA7A8
11.041,26032000,0x18D3780,2009000,0x1EA7A8
11.073,26032000,0x18D3780,2009000,0x1EA7A8
11.106,26032000,0x18D3780,2009000,0x1EA7A8
11.135,26032000,0x18D3780,2009000,0x1EA7A8
11.168,26032000,0x18D3780,2009000,0x1EA7A8
11.197,26032000,0x18D3780,2009000,0x1EA7A8
11.229,26032000,0x18D3780,2009000,0x1EA7A8
11.260,26032000,0x18D3780,2009000,0x1EA7A8
11.292,26032000,0x18D3780,2009000,0x1EA7A8
11.353,26032000,0x18D3780,2009000,0x1EA7A8
11.481,26032000,0x18D3780,2009000,0x1EA7A8
11.509,26032000,0x18D3780,2009000,0x1EA7A8
11.541,26032000,0x18D3780,2003003,0x1E903B
11.572,26032000,0x18D3780,2003003,0x1E903B
11.603,26032000,0x18D3780,2003003,0x1E903B
11.634,26032000,0x18D3780,2003003,0x1E903B
11.669,26032000,0x18D3780,2003003,0x1E903B
11.701,26032000,0x18D3780,2003003,0x1E903B
11.730,26032000,0x18D3780,2003003,0x1E903B
11.763,26032000,0x18D3780,2003003,0x1E903B
11.791,26032000,0x18D3780,2003003,0x1E903B
11.840,26032000,0x18D3780,2003003,0x1E903B
11.856,26032000,0x18D3780,2003003,0x1E903B
11.884,26032000,0x18D3780,2003003,0x1E903B
12.004,26032000,0x18D3780,2003003,0x1E903B
12.010,26032000,0x18D3780,2003003,0x1E903B
12.042,26032000,0x18D3780,2003003,0x1E903B
12.072,27110,0x69E6,2003003,0x1E903B
12.102,27110,0x69E6,2003003,0x1E903B
12.135,27110,0x69E6,2003003,0x1E903B
12.169,27110,0x69E6,2003003,0x1E903B
12.197,27110,0x69E6,2003003,0x1E903B
12.229,27110,0x69E6,2003003,0x1E903B
12.261,27110,0x69E6,2003003,0x1E903B
12.293,27110,0x69E6,2003003,0x1E903B
12.336,27110,0x69E6,2003003,0x1E903B
12.354,27110,0x69E6,2003015,0x1E9047
12.384,27110,0x69E6,2003015,0x1E9047
12.512,27110,0x69E6,2003015,0x1E9047
12.513,27110,0x69E6,2003015,0x1E9047
12.540,27110,0x69E6,2003015,0x1E9047
12.574,27110,0x69E6,2003015,0x1E9047
12.608,27110,0x69E6,2003015,0x1E9047
12.636,27110,0x69E6,2003015,0x1E9047
12.666,27110,0x69E6,2003015,0x1E9047
12.698,27110,0x69E6,2003015,0x1E9047
12.732,27110,0x69E6,2003015,0x1E9047
12.762,27110,0x69E6,2003015,0x1E9047
12.796,27110,0x69E6,2003015,0x1E9047
12.845,27110,0x69E6,2003015,0x1E9047
12.858,27110,0x69E6,2003015,0x1E9047
12.885,27110,0x69E6,2003015,0x1E9047
12.916,27110,0x69E6,2003015,0x1E9047
13.137,26032300,0x18D38AC,2009000,0x1EA7A8
13.166,26032300,0x18D38AC,2009000,0x1EA7A8
13.199,26032300,0x18D38AC,2009000,0x1EA7A8
13.237,26032300,0x18D38AC,2009000,0x1EA7A8
13.260,26032300,0x18D38AC,2009000,0x1EA7A8
13.293,26032300,0x18D38AC,2009000,0x1EA7A8
13.338,26032300,0x18D38AC,2009000,0x1EA7A8
13.355,26032300,0x18D38AC,2009000,0x1EA7A8
13.388,26032300,0x18D38AC,2009000,0x1EA7A8
13.417,26032300,0x18D38AC,2009000,0x1EA7A8
13.626,26032300,0x18D38AC,2009000,0x1EA7A8
